nct_id,brief_title
NCT00005580,Bryostatin + Fludarabine in Treating Patients With Chronic Lymphocytic Leukemia or Relapsed Indolent Non-Hodgkin's Lymphoma
NCT00574496,Combination Chemotherapy Followed by Donor Stem Cell Transplant in Treating Patients With Relapsed or High-Risk Primary Refractory Hodgkin Lymphoma
NCT06732388,Itraconazole in Combination With Ablation for the Prevention of Esophageal Cancer in Patients With High-risk Barrett's Esophagus
NCT02333188,Genetic Analysis-Guided Dosing of FOLFIRABRAX in Treating Patients With Advanced Gastrointestinal Cancer
NCT04858256,Pacritinib in Relapsed/Refractory T-cell Lymphoproliferative Neoplasms
NCT05243056,A Quality of Life Intervention for Young African American Breast Cancer Survivors in Treatment
NCT00002922,Paclitaxel in Treating Patients With Advanced Head and Neck Cancer
NCT07331129,The Analgesic Efficacy of Ultrasound Guided Transversalis Fascia Plane Block in Inguinal Lymph Node Dissection
NCT04025229,High Intensity Interval Training in Endometrial Cancer
NCT04333537,Comparing Sentinel Lymph Node (SLN) Biopsy With Standard Neck Dissection for Patients With Early-Stage Oral Cavity Cancer
NCT00002545,Radiation Therapy Plus Chemotherapy in Treating Patients With Supratentorial Glioblastoma Multiforme
NCT01138345,Biomarkers in Blood Samples From Older Breast Cancer Survivors
NCT00234039,"S0353, Gemcitabine in Treating Patients With Recurrent Bladder Cancer That Has Not Responded to Previous Bacillus Calmette-Guerin"
NCT01585675,Specimen Banking From Patients With Lung Cancer
NCT00859157,"Pain After Tumescent Mastectomy or Standard Mastectomy in Women With Stage I, Stage II, or Stage III Breast Cancer"
NCT00176501,Irradiated Donor Lymphocytes in Treating Patients With Metastatic Kidney Cancer
NCT00274781,Arsenic Trioxide and Gemtuzumab Ozogamicin in Treating Patients With Advanced Myelodysplastic Syndromes
NCT05705219,Development of 3D Multi-Parametric Ultrasound (MPUS) as a Decision Support Tool for Patients
NCT00253630,Vorinostat in Treating Patients With Low-Grade Non-Hodgkin's Lymphoma
NCT04641728,Pembrolizumab Plus Olaparib in Patients With Recurrent Cervical Cancer
NCT07085728,"Testing the Investigational Agent Combination of Daratumumab, Bortezomib, and Dexamethasone Compared to the Usual Treatment of Cyclophosphamide, Bortezomib, and Dexamethasone in Newly Diagnosed Multiple Myeloma Patients With Kidney Failure"
NCT00004165,Melphalan Followed by Peripheral Stem Cell Transplantation in Treating Patients With Multiple Myeloma
NCT00005042,SU5416 in Treating Patients With AIDS-Related Kaposi's Sarcoma
NCT05237986,Cognitive Aftereffects of Neurotoxicity in Children and Young Adults With Relapsed/Refractory Hematologic Malignancies Who Receive CAR T-cell Therapy
NCT00068783,S0331: Imatinib Mesylate in Treating Patients With Metastatic or Unresectable Merkel Cell Cancer
